script_id,imdb_id,title,year,gross
5170,tt1176740,Away We Go,2009,10
1727,tt0449467,Babel,2006,45
707,tt0086927,Bachelor Party,1984,99
7856,tt0088763,Back to the Future,1985,517
3881,tt0096874,Back to the Future Part II,1989,258
3882,tt0099088,Back to the Future Part III,1990,180
1735,tt0101393,Backdraft,1991,160
708,tt0112442,Bad Boys,1995,131
1739,tt2350892,Bad Country,2014,
1740,tt0047849,Bad Day at Black Rock,1955,
712,tt0103759,Bad Lieutenant,1992,4
7897,tt1034010,Bad Meat,2011,
1744,tt0307987,Bad Santa,2003,86
1746,tt1284575,Bad Teacher,2011,109
1747,tt0069762,Badlands,1973,
714,tt0215545,Bamboozled,2000,3
3892,tt1423894,Barney's Version,2010,8
716,tt0072684,Barry Lyndon,1975,
715,tt0101410,Barton Fink,1991,12
1759,tt0264395,Basic,2003,38
718,tt0103772,Basic Instinct,1992,247
1762,tt0115632,Basquiat,1996,5
725,tt0096895,Batman,1989,550
1771,tt0118688,Batman & Robin,1997,202
1773,tt0372784,Batman Begins,2005,278
1775,tt0112462,Batman Forever,1995,368
722,tt0103776,Batman Returns,1992,341
6053,tt1532958,Battle of the Year,2013,9
9245,tt0185183,Battlefield Earth,2000,34
3902,tt0094715,Beaches,1988,120
1789,tt0118689,Bean,1997,85
5380,tt1365050,Beasts of No Nation,2015,
1792,tt2125435,Beasts of the Southern Wild,2012,13
9254,tt0101414,Beauty and the Beast,1991,452
729,tt0115641,Beavis and Butt-Head Do America,1996,124
8031,tt0115644,Bed of Roses,1996,74
3907,tt0389790,Bee Movie,2007,160
3909,tt0094721,Beetlejuice,1988,155
5381,tt2209418,Before Midnight,2013,8
8727,tt0112471,Before Sunrise,1995,10
6916,tt0381681,Before Sunset,2004,8
8633,tt1980929,Begin Again,2013,17
1796,tt1532503,Beginners,2010,6
734,tt0106379,Being Human,1994,3
1801,tt0120601,Being John Malkovich,1999,39
1802,tt0078841,Being There,1979,
5383,tt2404181,Belle,2013,11
1807,tt0120603,Beloved,1998,42
3918,tt0276816,Below,2002,0
3919,tt0065462,Beneath the Planet of the Apes,1970,
1809,tt0106387,Benny & Joon,1993,48
3920,tt0442933,Beowulf,2007,103
3922,tt0402057,Beowulf & Grendel,2005,
1811,tt0094737,Big,1988,243
6910,tt1126590,Big Eyes,2014,15
6607,tt1228953,Big Fan,2009,
740,tt0319061,Big Fish,2003,95
8095,tt0099141,Bird on a Wire,1990,146
5385,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,45
